via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona,kilometros,abreviat
Calle,9,Avenida,38,Avenida,40,Calle 9 entre Avenida 38 y Avenida 40,400,Reina,3,Calle 9 entre Avenida 38 y Avenida 40 | calle 9 entre avenida 38 y avenida 40 | ave 9 entre 38 y 40 | 9 e 38 y 40
Calle,9,Avenida,40,Avenida,42,Calle 9 entre Avenida 40 y Avenida 42,390,Reina,"2,9",Calle 9 entre Avenida 40 y Avenida 42 | calle 9 entre avenida 40 y avenida 42 | ave 9 entre 40 y 42 | 9 e 40 y 42
Calle,9,Avenida,42,Avenida,44,Calle 9 entre Avenida 42 y Avenida 44,380,Reina,"2,8",Calle 9 entre Avenida 42 y Avenida 44 | calle 9 entre avenida 42 y avenida 44 | ave 9 entre 42 y 44 | 9 e 42 y 44
Calle,9,Avenida,44,Avenida,46,Calle 9 entre Avenida 44 y Avenida 46,370,Reina,"2,7",Calle 9 entre Avenida 44 y Avenida 46 | calle 9 entre avenida 44 y avenida 46 | ave 9 entre 44 y 46 | 9 e 44 y 46
Calle,9,Avenida,50,Avenida,52,Calle 9 entre Avenida 50 y Avenida 52,370,Reina,"2,7",Calle 9 entre Avenida 50 y Avenida 52 | calle 9 entre avenida 50 y avenida 52 | ave 9 entre 50 y 52 | 9 e 50 y 52
Calle,9,Avenida,52,Avenida,54,Calle 9 entre Avenida 52 y Avenida 54,380,Reina,"2,8",Calle 9 entre Avenida 52 y Avenida 54 | calle 9 entre avenida 52 y avenida 54 | ave 9 entre 52 y 54 | 9 e 52 y 54
Calle,9,Avenida,54,Avenida,56,Calle 9 entre Avenida 54 y Avenida 56,390,Reina,"2,9",Calle 9 entre Avenida 54 y Avenida 56 | calle 9 entre avenida 54 y avenida 56 | ave 9 entre 54 y 56 | 9 e 54 y 56
Calle,9,Avenida,56,Avenida,58,Calle 9 entre Avenida 56 y Avenida 58,400,Reina,3,Calle 9 entre Avenida 56 y Avenida 58 | calle 9 entre avenida 56 y avenida 58 | ave 9 entre 56 y 58 | 9 e 56 y 58
Calle,9A,Avenida,46,Avenida,48,Calle 9A entre Avenida 46 y Avenida 48,360,Reina,"2,6",Calle 9A entre Avenida 46 y Avenida 48 | calle 9a entre avenida 46 y avenida 48 | ave 9A entre 46 y 48 | 9A e 46 y 48
Calle,9A,Avenida,48,Avenida,50,Calle 9A entre Avenida 48 y Avenida 50,360,Reina,"2,6",Calle 9A entre Avenida 48 y Avenida 50 | calle 9a entre avenida 48 y avenida 50 | ave 9A entre 48 y 50 | 9A e 48 y 50
Calle,9A,Avenida,52,Avenida,54,Calle 9A entre Avenida 52 y Avenida 54,390,Reina,"2,9",Calle 9A entre Avenida 52 y Avenida 54 | calle 9a entre avenida 52 y avenida 54 | ave 9A entre 52 y 54 | 9A e 52 y 54
Calle,9A,Avenida,54,Avenida,56,Calle 9A entre Avenida 54 y Avenida 56,410,Reina,"3,1",Calle 9A entre Avenida 54 y Avenida 56 | calle 9a entre avenida 54 y avenida 56 | ave 9A entre 54 y 56 | 9A e 54 y 56
Calle,9A,Avenida,56,Avenida,58,Calle 9A entre Avenida 56 y Avenida 58,420,Reina,"3,2",Calle 9A entre Avenida 56 y Avenida 58 | calle 9a entre avenida 56 y avenida 58 | ave 9A entre 56 y 58 | 9A e 56 y 58
Calle,11,Avenida,38,Avenida,40,Calle 11 entre Avenida 38 y Avenida 40,390,Reina,"2,9",Calle 11 entre Avenida 38 y Avenida 40 | calle 11 entre avenida 38 y avenida 40 | ave 11 entre 38 y 40 | 11 e 38 y 40
Calle,11,Avenida,40,Avenida,42,Calle 11 entre Avenida 40 y Avenida 42,380,Reina,"2,8",Calle 11 entre Avenida 40 y Avenida 42 | calle 11 entre avenida 40 y avenida 42 | ave 11 entre 40 y 42 | 11 e 40 y 42
Calle,11,Avenida,42,Avenida,44,Calle 11 entre Avenida 42 y Avenida 44,370,Reina,"2,7",Calle 11 entre Avenida 42 y Avenida 44 | calle 11 entre avenida 42 y avenida 44 | ave 11 entre 42 y 44 | 11 e 42 y 44
Calle,11,Avenida,44,Avenida,46,Calle 11 entre Avenida 44 y Avenida 46,360,Reina,"2,6",Calle 11 entre Avenida 44 y Avenida 46 | calle 11 entre avenida 44 y avenida 46 | ave 11 entre 44 y 46 | 11 e 44 y 46
Calle,11,Avenida,46,Avenida,48,Calle 11 entre Avenida 46 y Avenida 48,350,Reina,"2,5",Calle 11 entre Avenida 46 y Avenida 48 | calle 11 entre avenida 46 y avenida 48 | ave 11 entre 46 y 48 | 11 e 46 y 48
Calle,11,Avenida,48,Avenida,50,Calle 11 entre Avenida 48 y Avenida 50,350,Reina,"2,5",Calle 11 entre Avenida 48 y Avenida 50 | calle 11 entre avenida 48 y avenida 50 | ave 11 entre 48 y 50 | 11 e 48 y 50
Calle,11,Avenida,50,Avenida,52,Calle 11 entre Avenida 50 y Avenida 52,360,Reina,"2,6",Calle 11 entre Avenida 50 y Avenida 52 | calle 11 entre avenida 50 y avenida 52 | ave 11 entre 50 y 52 | 11 e 50 y 52
Calle,13,Avenida,42,Avenida,44,Calle 13 entre Avenida 42 y Avenida 44,360,Reina,"2,6",Calle 13 entre Avenida 42 y Avenida 44 | calle 13 entre avenida 42 y avenida 44 | ave 13 entre 42 y 44 | 13 e 42 y 44
Calle,13,Avenida,44,Avenida,46,Calle 13 entre Avenida 44 y Avenida 46,350,Reina,"2,5",Calle 13 entre Avenida 44 y Avenida 46 | calle 13 entre avenida 44 y avenida 46 | ave 13 entre 44 y 46 | 13 e 44 y 46
Calle,13,Avenida,46,Avenida,48,Calle 13 entre Avenida 46 y Avenida 48,340,Reina,"2,4",Calle 13 entre Avenida 46 y Avenida 48 | calle 13 entre avenida 46 y avenida 48 | ave 13 entre 46 y 48 | 13 e 46 y 48
Calle,13,Avenida,48,Avenida,50,Calle 13 entre Avenida 48 y Avenida 50,340,Reina,"2,4",Calle 13 entre Avenida 48 y Avenida 50 | calle 13 entre avenida 48 y avenida 50 | ave 13 entre 48 y 50 | 13 e 48 y 50
Calle,13,Avenida,50,Avenida,52,Calle 13 entre Avenida 50 y Avenida 52,350,Reina,"2,5",Calle 13 entre Avenida 50 y Avenida 52 | calle 13 entre avenida 50 y avenida 52 | ave 13 entre 50 y 52 | 13 e 50 y 52
Calle,15,Avenida,44,Avenida,46,Calle 15 entre Avenida 44 y Avenida 46,340,Reina,"2,4",Calle 15 entre Avenida 44 y Avenida 46 | calle 15 entre avenida 44 y avenida 46 | ave 15 entre 44 y 46 | 15 e 44 y 46
Calle,15,Avenida,46,Avenida,48,Calle 15 entre Avenida 46 y Avenida 48,330,Reina,"2,3",Calle 15 entre Avenida 46 y Avenida 48 | calle 15 entre avenida 46 y avenida 48 | ave 15 entre 46 y 48 | 15 e 46 y 48
Calle,15,Avenida,48,Avenida,50,Calle 15 entre Avenida 48 y Avenida 50,330,Reina,"2,3",Calle 15 entre Avenida 48 y Avenida 50 | calle 15 entre avenida 48 y avenida 50 | ave 15 entre 48 y 50 | 15 e 48 y 50
Calle,15,Avenida,50,Avenida,52,Calle 15 entre Avenida 50 y Avenida 52,340,Reina,"2,4",Calle 15 entre Avenida 50 y Avenida 52 | calle 15 entre avenida 50 y avenida 52 | ave 15 entre 50 y 52 | 15 e 50 y 52
Calle,15,Avenida,52,Avenida,54,Calle 15 entre Avenida 52 y Avenida 54,350,Reina,"2,5",Calle 15 entre Avenida 52 y Avenida 54 | calle 15 entre avenida 52 y avenida 54 | ave 15 entre 52 y 54 | 15 e 52 y 54
Calle,17,Avenida,44,Avenida,46,Calle 17 entre Avenida 44 y Avenida 46,320,Reina,"2,2",Calle 17 entre Avenida 44 y Avenida 46 | calle 17 entre avenida 44 y avenida 46 | ave 17 entre 44 y 46 | 17 e 44 y 46
Calle,17,Avenida,46,Avenida,48,Calle 17 entre Avenida 46 y Avenida 48,310,Reina,"2,1",Calle 17 entre Avenida 46 y Avenida 48 | calle 17 entre avenida 46 y avenida 48 | ave 17 entre 46 y 48 | 17 e 46 y 48
Calle,17,Avenida,48,Avenida,50,Calle 17 entre Avenida 48 y Avenida 50,310,Reina,"2,1",Calle 17 entre Avenida 48 y Avenida 50 | calle 17 entre avenida 48 y avenida 50 | ave 17 entre 48 y 50 | 17 e 48 y 50
Calle,17,Avenida,50,Avenida,52,Calle 17 entre Avenida 50 y Avenida 52,320,Reina,"2,2",Calle 17 entre Avenida 50 y Avenida 52 | calle 17 entre avenida 50 y avenida 52 | ave 17 entre 50 y 52 | 17 e 50 y 52
Calle,17,Avenida,52,Avenida,54,Calle 17 entre Avenida 52 y Avenida 54,330,Reina,"2,3",Calle 17 entre Avenida 52 y Avenida 54 | calle 17 entre avenida 52 y avenida 54 | ave 17 entre 52 y 54 | 17 e 52 y 54
Calle,19,Avenida,44,Avenida,46,Calle 19 entre Avenida 44 y Avenida 46,290,Reina,"1,9",Calle 19 entre Avenida 44 y Avenida 46 | calle 19 entre avenida 44 y avenida 46 | ave 19 entre 44 y 46 | 19 e 44 y 46
Calle,19,Avenida,46,Avenida,48,Calle 19 entre Avenida 46 y Avenida 48,300,Reina,2,Calle 19 entre Avenida 46 y Avenida 48 | calle 19 entre avenida 46 y avenida 48 | ave 19 entre 46 y 48 | 19 e 46 y 48
Calle,19,Avenida,48,Avenida,50,Calle 19 entre Avenida 48 y Avenida 50,300,Reina,2,Calle 19 entre Avenida 48 y Avenida 50 | calle 19 entre avenida 48 y avenida 50 | ave 19 entre 48 y 50 | 19 e 48 y 50
Calle,19,Avenida,50,Avenida,52,Calle 19 entre Avenida 50 y Avenida 52,310,Reina,"2,1",Calle 19 entre Avenida 50 y Avenida 52 | calle 19 entre avenida 50 y avenida 52 | ave 19 entre 50 y 52 | 19 e 50 y 52
Calle,19,Avenida,52,Avenida,54,Calle 19 entre Avenida 52 y Avenida 54,320,Reina,"2,2",Calle 19 entre Avenida 52 y Avenida 54 | calle 19 entre avenida 52 y avenida 54 | ave 19 entre 52 y 54 | 19 e 52 y 54
Calle,19,Avenida,54,Avenida,56,Calle 19 entre Avenida 54 y Avenida 56,330,Reina,"2,3",Calle 19 entre Avenida 54 y Avenida 56 | calle 19 entre avenida 54 y avenida 56 | ave 19 entre 54 y 56 | 19 e 54 y 56
Calle,19,Avenida,56,Avenida,58,Calle 19 entre Avenida 56 y Avenida 58,340,Reina,"2,4",Calle 19 entre Avenida 56 y Avenida 58 | calle 19 entre avenida 56 y avenida 58 | ave 19 entre 56 y 58 | 19 e 56 y 58
Calle,21,Avenida,46,Avenida,48,Calle 21 entre Avenida 46 y Avenida 48,310,Casco Historico,"2,1",Calle 21 entre Avenida 46 y Avenida 48 | calle 21 entre avenida 46 y avenida 48 | ave 21 entre 46 y 48 | 21 e 46 y 48
Calle,21,Avenida,48,Avenida,50,Calle 21 entre Avenida 48 y Avenida 50,310,Casco Historico,"2,1",Calle 21 entre Avenida 48 y Avenida 50 | calle 21 entre avenida 48 y avenida 50 | ave 21 entre 48 y 50 | 21 e 48 y 50
Calle,21,Avenida,50,Avenida,52,Calle 21 entre Avenida 50 y Avenida 52,320,Casco Historico,"2,2",Calle 21 entre Avenida 50 y Avenida 52 | calle 21 entre avenida 50 y avenida 52 | ave 21 entre 50 y 52 | 21 e 50 y 52
Calle,21,Avenida,52,Avenida,54,Calle 21 entre Avenida 52 y Avenida 54,330,Casco Historico,"2,3",Calle 21 entre Avenida 52 y Avenida 54 | calle 21 entre avenida 52 y avenida 54 | ave 21 entre 52 y 54 | 21 e 52 y 54
Calle,21,Avenida,54,Avenida,56,Calle 21 entre Avenida 54 y Avenida 56,340,Casco Historico,"2,4",Calle 21 entre Avenida 54 y Avenida 56 | calle 21 entre avenida 54 y avenida 56 | ave 21 entre 54 y 56 | 21 e 54 y 56
Calle,21,Avenida,56,Avenida,58,Calle 21 entre Avenida 56 y Avenida 58,350,Casco Historico,"2,5",Calle 21 entre Avenida 56 y Avenida 58 | calle 21 entre avenida 56 y avenida 58 | ave 21 entre 56 y 58 | 21 e 56 y 58
Calle,21,Avenida,58,Avenida,60,Calle 21 entre Avenida 58 y Avenida 60,360,Casco Historico,"2,6",Calle 21 entre Avenida 58 y Avenida 60 | calle 21 entre avenida 58 y avenida 60 | ave 21 entre 58 y 60 | 21 e 58 y 60
Calle,21,Avenida,60,Avenida,62,Calle 21 entre Avenida 60 y Avenida 62,370,Casco Historico,"2,7",Calle 21 entre Avenida 60 y Avenida 62 | calle 21 entre avenida 60 y avenida 62 | ave 21 entre 60 y 62 | 21 e 60 y 62
Calle,23,Avenida,46,Avenida,48,Calle 23 entre Avenida 46 y Avenida 48,300,Casco Historico,2,Calle 23 entre Avenida 46 y Avenida 48 | calle 23 entre avenida 46 y avenida 48 | ave 23 entre 46 y 48 | 23 e 46 y 48
Calle,23,Avenida,48,Avenida,50,Calle 23 entre Avenida 48 y Avenida 50,300,Casco Historico,2,Calle 23 entre Avenida 48 y Avenida 50 | calle 23 entre avenida 48 y avenida 50 | ave 23 entre 48 y 50 | 23 e 48 y 50
Calle,23,Avenida,50,Avenida,52,Calle 23 entre Avenida 50 y Avenida 52,310,Casco Historico,"2,1",Calle 23 entre Avenida 50 y Avenida 52 | calle 23 entre avenida 50 y avenida 52 | ave 23 entre 50 y 52 | 23 e 50 y 52
Calle,23,Avenida,52,Avenida,54,Calle 23 entre Avenida 52 y Avenida 54,320,Casco Historico,"2,2",Calle 23 entre Avenida 52 y Avenida 54 | calle 23 entre avenida 52 y avenida 54 | ave 23 entre 52 y 54 | 23 e 52 y 54
Calle,23,Avenida,54,Avenida,56,Calle 23 entre Avenida 54 y Avenida 56,330,Casco Historico,"2,3",Calle 23 entre Avenida 54 y Avenida 56 | calle 23 entre avenida 54 y avenida 56 | ave 23 entre 54 y 56 | 23 e 54 y 56
Calle,23,Avenida,56,Avenida,58,Calle 23 entre Avenida 56 y Avenida 58,340,Casco Historico,"2,4",Calle 23 entre Avenida 56 y Avenida 58 | calle 23 entre avenida 56 y avenida 58 | ave 23 entre 56 y 58 | 23 e 56 y 58
Calle,23,Avenida,58,Avenida,60,Calle 23 entre Avenida 58 y Avenida 60,350,Casco Historico,"2,5",Calle 23 entre Avenida 58 y Avenida 60 | calle 23 entre avenida 58 y avenida 60 | ave 23 entre 58 y 60 | 23 e 58 y 60
Calle,23,Avenida,60,Avenida,62,Calle 23 entre Avenida 60 y Avenida 62,360,Casco Historico,"2,6",Calle 23 entre Avenida 60 y Avenida 62 | calle 23 entre avenida 60 y avenida 62 | ave 23 entre 60 y 62 | 23 e 60 y 62
Calle,25,Avenida,46,Avenida,48,Calle 25 entre Avenida 46 y Avenida 48,280,Casco Historico,"1,8",Calle 25 entre Avenida 46 y Avenida 48 | calle 25 entre avenida 46 y avenida 48 | ave 25 entre 46 y 48 | 25 e 46 y 48
Calle,25,Avenida,48,Avenida,50,Calle 25 entre Avenida 48 y Avenida 50,280,Casco Historico,"1,8",Calle 25 entre Avenida 48 y Avenida 50 | calle 25 entre avenida 48 y avenida 50 | ave 25 entre 48 y 50 | 25 e 48 y 50
Calle,25,Avenida,50,Avenida,52,Calle 25 entre Avenida 50 y Avenida 52,290,Casco Historico,"1,9",Calle 25 entre Avenida 50 y Avenida 52 | calle 25 entre avenida 50 y avenida 52 | ave 25 entre 50 y 52 | 25 e 50 y 52
Calle,25,Avenida,52,Avenida,54,Calle 25 entre Avenida 52 y Avenida 54,300,Casco Historico,2,Calle 25 entre Avenida 52 y Avenida 54 | calle 25 entre avenida 52 y avenida 54 | ave 25 entre 52 y 54 | 25 e 52 y 54
Calle,25,Avenida,54,Avenida,56,Calle 25 entre Avenida 54 y Avenida 56,310,Casco Historico,"2,1",Calle 25 entre Avenida 54 y Avenida 56 | calle 25 entre avenida 54 y avenida 56 | ave 25 entre 54 y 56 | 25 e 54 y 56
Calle,25,Avenida,56,Avenida,58,Calle 25 entre Avenida 56 y Avenida 58,320,Casco Historico,"2,2",Calle 25 entre Avenida 56 y Avenida 58 | calle 25 entre avenida 56 y avenida 58 | ave 25 entre 56 y 58 | 25 e 56 y 58
Calle,25,Avenida,58,Avenida,60,Calle 25 entre Avenida 58 y Avenida 60,330,Casco Historico,"2,3",Calle 25 entre Avenida 58 y Avenida 60 | calle 25 entre avenida 58 y avenida 60 | ave 25 entre 58 y 60 | 25 e 58 y 60
Calle,25,Avenida,60,Avenida,62,Calle 25 entre Avenida 60 y Avenida 62,340,Casco Historico,"2,4",Calle 25 entre Avenida 60 y Avenida 62 | calle 25 entre avenida 60 y avenida 62 | ave 25 entre 60 y 62 | 25 e 60 y 62
Calle,25A,Avenida,82A,Avenida,82B,Calle 25A entre Avenida 82A y Avenida 82B,530,Pastorita,"4,3",Calle 25A entre Avenida 82A y Avenida 82B | calle 25a entre avenida 82a y avenida 82b | ave 25A entre 82A y 82B | 25A e 82A y 82B
Calle,27,Avenida,46,Avenida,48,Calle 27 entre Avenida 46 y Avenida 48,260,Casco Historico,"1,6",Calle 27 entre Avenida 46 y Avenida 48 | calle 27 entre avenida 46 y avenida 48 | ave 27 entre 46 y 48 | 27 e 46 y 48
Calle,27,Avenida,48,Avenida,50,Calle 27 entre Avenida 48 y Avenida 50,260,Casco Historico,"1,6",Calle 27 entre Avenida 48 y Avenida 50 | calle 27 entre avenida 48 y avenida 50 | ave 27 entre 48 y 50 | 27 e 48 y 50
Calle,27,Avenida,50,Avenida,52,Calle 27 entre Avenida 50 y Avenida 52,270,Casco Historico,"1,7",Calle 27 entre Avenida 50 y Avenida 52 | calle 27 entre avenida 50 y avenida 52 | ave 27 entre 50 y 52 | 27 e 50 y 52
Calle,27,Avenida,52,Avenida,54,Calle 27 entre Avenida 52 y Avenida 54,280,Casco Historico,"1,8",Calle 27 entre Avenida 52 y Avenida 54 | calle 27 entre avenida 52 y avenida 54 | ave 27 entre 52 y 54 | 27 e 52 y 54
Calle,27,Avenida,56,Avenida,58,Calle 27 entre Avenida 56 y Avenida 58,290,Casco Historico,"1,9",Calle 27 entre Avenida 56 y Avenida 58 | calle 27 entre avenida 56 y avenida 58 | ave 27 entre 56 y 58 | 27 e 56 y 58
Calle,27,Avenida,58,Avenida,60,Calle 27 entre Avenida 58 y Avenida 60,300,Casco Historico,2,Calle 27 entre Avenida 58 y Avenida 60 | calle 27 entre avenida 58 y avenida 60 | ave 27 entre 58 y 60 | 27 e 58 y 60
Calle,27,Avenida,60,Avenida,62,Calle 27 entre Avenida 60 y Avenida 62,310,Casco Historico,"2,1",Calle 27 entre Avenida 60 y Avenida 62 | calle 27 entre avenida 60 y avenida 62 | ave 27 entre 60 y 62 | 27 e 60 y 62
Calle,27,Avenida,82A,Avenida,82B,Calle 27 entre Avenida 82A y Avenida 82B,530,Pastorita,"4,3",Calle 27 entre Avenida 82A y Avenida 82B | calle 27 entre avenida 82a y avenida 82b | ave 27 entre 82A y 82B | 27 e 82A y 82B
Calle,27,Avenida,82B,Avenida,84,Calle 27 entre Avenida 82B y Avenida 84,540,Pastorita,"4,4",Calle 27 entre Avenida 82B y Avenida 84 | calle 27 entre avenida 82b y avenida 84 | ave 27 entre 82B y 84 | 27 e 82B y 84
Calle,29,Avenida,46,Avenida,48,Calle 29 entre Avenida 46 y Avenida 48,260,Casco Historico,"1,6",Calle 29 entre Avenida 46 y Avenida 48 | calle 29 entre avenida 46 y avenida 48 | ave 29 entre 46 y 48 | 29 e 46 y 48
Calle,29,Avenida,48,Avenida,50,Calle 29 entre Avenida 48 y Avenida 50,260,Casco Historico,"1,6",Calle 29 entre Avenida 48 y Avenida 50 | calle 29 entre avenida 48 y avenida 50 | ave 29 entre 48 y 50 | 29 e 48 y 50
Calle,29,Avenida,50,Avenida,52,Calle 29 entre Avenida 50 y Avenida 52,270,Casco Historico,"1,7",Calle 29 entre Avenida 50 y Avenida 52 | calle 29 entre avenida 50 y avenida 52 | ave 29 entre 50 y 52 | 29 e 50 y 52
Calle,29,Avenida,52,Avenida,54,Calle 29 entre Avenida 52 y Avenida 54,280,Casco Historico,"1,8",Calle 29 entre Avenida 52 y Avenida 54 | calle 29 entre avenida 52 y avenida 54 | ave 29 entre 52 y 54 | 29 e 52 y 54
Calle,29,Avenida,54,Avenida,56,Calle 29 entre Avenida 54 y Avenida 56,290,Casco Historico,"1,9",Calle 29 entre Avenida 54 y Avenida 56 | calle 29 entre avenida 54 y avenida 56 | ave 29 entre 54 y 56 | 29 e 54 y 56
Calle,29,Avenida,56,Avenida,58,Calle 29 entre Avenida 56 y Avenida 58,300,Casco Historico,2,Calle 29 entre Avenida 56 y Avenida 58 | calle 29 entre avenida 56 y avenida 58 | ave 29 entre 56 y 58 | 29 e 56 y 58
Calle,29,Avenida,58,Avenida,60,Calle 29 entre Avenida 58 y Avenida 60,310,Casco Historico,"2,1",Calle 29 entre Avenida 58 y Avenida 60 | calle 29 entre avenida 58 y avenida 60 | ave 29 entre 58 y 60 | 29 e 58 y 60
Calle,29,Avenida,60,Avenida,62,Calle 29 entre Avenida 60 y Avenida 62,320,Casco Historico,"2,2",Calle 29 entre Avenida 60 y Avenida 62 | calle 29 entre avenida 60 y avenida 62 | ave 29 entre 60 y 62 | 29 e 60 y 62
Calle,29,Avenida,62,Avenida,64,Calle 29 entre Avenida 62 y Avenida 64,330,Casco Historico,"2,3",Calle 29 entre Avenida 62 y Avenida 64 | calle 29 entre avenida 62 y avenida 64 | ave 29 entre 62 y 64 | 29 e 62 y 64
Calle,29,Avenida,66,Avenida,68,Calle 29 entre Avenida 66 y Avenida 68,340,Punta Gotica,"2,4",Calle 29 entre Avenida 66 y Avenida 68 | calle 29 entre avenida 66 y avenida 68 | ave 29 entre 66 y 68 | 29 e 66 y 68
Calle,29,Calle,31,Avenida,84,Calle 29 entre Calle 31 y Avenida 84,550,Pastorita,"4,5",Calle 29 entre Calle 31 y Avenida 84 | calle 29 entre calle 31 y avenida 84 | ave 29 entre 31 y 84 | 29 e 31 y 84
Calle,29,Avenida,84A,Avenida,90,Calle 29 entre Avenida 84A y Avenida 90,530,Pastorita,"4,3",Calle 29 entre Avenida 84A y Avenida 90 | calle 29 entre avenida 84a y avenida 90 | ave 29 entre 84A y 90 | 29 e 84A y 90
Calle,29,Avenida,90,Calle,CARRETERA DEL PUERTO,Calle 29 entre Avenida 90 y Calle CARRETERA DEL PUERTO,580,Pastorita,"4,8",Calle 29 entre Avenida 90 y Calle CARRETERA DEL PUERTO | calle 29 entre avenida 90 y calle carretera del puerto | ave 29 entre 90 y CARRETERA DEL PUERTO | 29 e 90 y CARRETERA DEL PUERTO
Calle,31,Avenida,46,Avenida,48,Calle 31 entre Avenida 46 y Avenida 48,240,Casco Historico,"1,4",Calle 31 entre Avenida 46 y Avenida 48 | calle 31 entre avenida 46 y avenida 48 | ave 31 entre 46 y 48 | 31 e 46 y 48
Calle,31,Avenida,48,Avenida,50,Calle 31 entre Avenida 48 y Avenida 50,240,Casco Historico,"1,4",Calle 31 entre Avenida 48 y Avenida 50 | calle 31 entre avenida 48 y avenida 50 | ave 31 entre 48 y 50 | 31 e 48 y 50
Calle,31,Avenida,50,Avenida,52,Calle 31 entre Avenida 50 y Avenida 52,250,Casco Historico,"1,5",Calle 31 entre Avenida 50 y Avenida 52 | calle 31 entre avenida 50 y avenida 52 | ave 31 entre 50 y 52 | 31 e 50 y 52
Calle,31,Avenida,52,Avenida,54,Calle 31 entre Avenida 52 y Avenida 54,260,Casco Historico,"1,6",Calle 31 entre Avenida 52 y Avenida 54 | calle 31 entre avenida 52 y avenida 54 | ave 31 entre 52 y 54 | 31 e 52 y 54
Calle,31,Avenida,54,Avenida,56,Calle 31 entre Avenida 54 y Avenida 56,270,Casco Historico,"1,7",Calle 31 entre Avenida 54 y Avenida 56 | calle 31 entre avenida 54 y avenida 56 | ave 31 entre 54 y 56 | 31 e 54 y 56
Calle,31,Avenida,56,Avenida,58,Calle 31 entre Avenida 56 y Avenida 58,280,Casco Historico,"1,8",Calle 31 entre Avenida 56 y Avenida 58 | calle 31 entre avenida 56 y avenida 58 | ave 31 entre 56 y 58 | 31 e 56 y 58
Calle,31,Avenida,58,Avenida,60,Calle 31 entre Avenida 58 y Avenida 60,290,Casco Historico,"1,9",Calle 31 entre Avenida 58 y Avenida 60 | calle 31 entre avenida 58 y avenida 60 | ave 31 entre 58 y 60 | 31 e 58 y 60
Calle,31,Avenida,60,Avenida,62,Calle 31 entre Avenida 60 y Avenida 62,300,Casco Historico,2,Calle 31 entre Avenida 60 y Avenida 62 | calle 31 entre avenida 60 y avenida 62 | ave 31 entre 60 y 62 | 31 e 60 y 62
